trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
382,False,"{'a': 0.9, 'e': 6.852882322304762e-06}",20,8,18.74310045737934,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.9, 'e': 6.817143753110322e-06}",20,0,35.788780150280665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.9, 'e': 6.781684027777777e-06}",20,6,22.842467394182957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.9, 'e': 6.7465002529937596e-06}",20,14,10.637074171712396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.9, 'e': 6.71158957287444e-06}",20,1,39.91433377476355,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.9, 'e': 6.676949168385981e-06}",20,4,24.0006146808367,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.9, 'e': 6.642576256775428e-06}",25,16,13.08793532845019,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.9, 'e': 6.608468091011823e-06}",25,17,15.212920039654513,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.9, 'e': 6.574621959237344e-06}",20,9,13.46852195030078,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.9, 'e': 6.541035184228256e-06}",20,0,8.396609096142566,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
392,False,"{'a': 0.9, 'e': 6.507705122865473e-06}",25,15,17.340797702249873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.9, 'e': 6.47462916561454e-06}",30,0,42.1136113694346,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
394,False,"{'a': 0.9, 'e': 6.441804736014842e-06}",25,6,34.61368645053828,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.9, 'e': 6.409229290177856e-06}",25,16,-24.965431138755232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
396,False,"{'a': 0.9, 'e': 6.376900316294256e-06}",25,11,26.558149032101475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.9, 'e': 6.344815334149699e-06}",30,23,12.904237480736153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.9, 'e': 6.312971894649125e-06}",20,14,13.565527859580968,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.9, 'e': 6.281367579349376e-06}",30,14,23.061531546932947,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.9, 'e': 6.25e-06}",30,21,16.749212795811605,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.9, 'e': 6.218866798092052e-06}",30,23,13.674327299338762,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.9, 'e': 6.187965644414742e-06}",25,18,14.25959706408492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.9, 'e': 6.157294238619781e-06}",25,10,29.665116007522094,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.9, 'e': 6.126850308793255e-06}",25,8,25.946571087045584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.9, 'e': 6.0966316110349035e-06}",25,13,20.830600529996836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.9, 'e': 6.066635929044626e-06}",25,20,6.962881140655599,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.9, 'e': 6.036861073716111e-06}",30,4,38.98218034048118,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.9, 'e': 6.007304882737409e-06}",30,21,17.47547405054358,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.9, 'e': 5.977965220198349e-06}",25,10,29.690822444618668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.9, 'e': 5.9488399762046405e-06}",35,24,25.194362934203806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.9, 'e': 5.919927066498541e-06}",20,12,14.395572619528197,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.9, 'e': 5.891224432085965e-06}",20,16,6.382678781655205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.9, 'e': 5.8627300388699e-06}",25,13,25.11503119127299,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.9, 'e': 5.834441877290019e-06}",20,7,23.903275428410716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.9, 'e': 5.8063579619683555e-06}",25,12,21.363347492976025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
